"Track sleep patterns","Health records",0.3
"Delete outdated documents","Manage Documents",1.0
"Delete outdated documents","Health records",0.4
"Steps to check health quotient","Steps",0.7
"Steps to check health quotient","View Health Quotient",0.9
"FAQs for health tracking","FAQs",0.9
"FAQs for health tracking","Track Health",0.7
"Validate ABHA ID","ABHA Id",1.0
"Validate ABHA ID","Steps",0.4
"Export health quotient data","View Health Quotient",1.0
"Worldwide travel insurance options?","Buy Travel Insurance",1.0
"Health AdvantEdge for alternative therapies?","Buy Health AdvantEdge",1.0
"Policy cancellation and re-addition?","Add Health Policy",0.8
"Classic bike insurance requirements?","Buy Bike Insurance",0.9
"Pop-up retail store health coverage?","Add Retail Health Policy",1.0
"Active Booster for pre-existing conditions?","Buy Active Booster",1.0
"Home insurance for inherited property?","Buy Home Insurance",0.8
"Foster child health policy addition?","Add Health Policy",0.9
"Bike insurance for gig economy workers?","Buy Bike Insurance",1.0
"Corporate health plan for interns?","Add Corporate Health Policy",1.0
"Cruise travel insurance specifics?","Buy Travel Insurance",1.0
"MaxProtect for transplant patients?","Buy MaxProtect",1.0
"Policy reinstatement after lapse?","Add Health Policy",0.8
"Antique bike insurance process?","Buy Bike Insurance",0.9
"Temporary retail event staff coverage?","Add Retail Health Policy",1.0
"Active Booster for disability coverage?","Buy Active Booster",1.0
"Vacation rental insurance options?","Buy Home Insurance",0.8
"Legal guardian health policy addition?","Add Health Policy",0.9
"Bike insurance for app-based delivery?","Buy Bike Insurance",1.0
"Corporate health plan for volunteers?","Add Corporate Health Policy",1.0
"Adventure travel insurance exclusions?","Buy Travel Insurance",1.0
"Health AdvantEdge for yoga therapy?","Buy Health AdvantEdge",1.0
"Policy transfer after marriage?","Add Health Policy",0.9
"Custom bike insurance requirements?","Buy Bike Insurance",0.9
"Seasonal retail health plan options?","Add Retail Health Policy",1.0
"Active Booster for genetic conditions?","Buy Active Booster",1.0
"Second home insurance discounts?","Buy Home Insurance",0.8
"Grandparent health policy addition?","Add Health Policy",0.9
"Bike insurance for multiple riders?","Buy Bike Insurance",1.0
"Corporate health plan for consultants?","Add Corporate Health Policy",1.0
"Extreme sports travel insurance?","Buy Travel Insurance",1.0
"MaxProtect for chronic pain patients?","Buy MaxProtect",1.0
"Policy merge after domestic partnership?","Add Health Policy",0.9
"Vintage bike club group insurance?","Buy Bike Insurance",0.9
"Temporary retail health coverage options?","Add Retail Health Policy",1.0
"Active Booster for alternative medicine?","Buy Active Booster",1.0
"Vacation home rental insurance?","Buy Home Insurance",0.8
"Export health quotient data","Manage Documents",0.5
"Track diet progress","Track Health",1.0
"Track diet progress","Health records",0.2
"Steps to recover documents","Steps",0.8
"Steps to recover documents","Manage Documents",0.9
"FAQs on health records format","FAQs",1.0
"FAQs on health records format","Health records",0.6
"ABHA ID for family members","ABHA Id",1.0
"ABHA ID for family members","Steps",0.3
"View health quotient alerts","View Health Quotient",1.0
"View health quotient alerts","Track Health",0.4
"Manage shared documents","Manage Documents",1.0
"Manage shared documents","Health records",0.3
"Steps to analyze health data","Steps",0.8
"Steps to analyze health data","Track Health",0.9
"FAQs on quotient accuracy","FAQs",0.7
"FAQs on quotient accuracy","View Health Quotient",0.8
"Deactivate ABHA ID","ABHA Id",1.0
"Deactivate ABHA ID","Manage Documents",0.2
"Track blood pressure history","Track Health",1.0
"Track blood pressure history","Health records",0.7
"Steps to upload documents","Steps",0.9
"Steps to upload documents","Manage Documents",1.0
"FAQs for health quotient","FAQs",0.8
"Tell me a bedtime story","View Travel Policies",0
"Order food from a restaurant","View Home Policies",0
"Create a shopping list","Buy Active Booster Combo",0
"FAQs for health quotient","View Health Quotient",0.9
"Steps to organize health records and manage documents","Steps",1.0  
"Steps to organize health records and manage documents","Manage Documents",0.7  
"Track fitness metrics and view health quotient trends","Track Health",1.0  
"Track fitness metrics and view health quotient trends","View Health Quotient",0.6  
"Link ABHA ID and read FAQs for troubleshooting","ABHA Id",1.0  
"Link ABHA ID and read FAQs for troubleshooting","FAQs",0.5  
"Upload health records and track sleep patterns","Health records",1.0  
"Upload health records and track sleep patterns","Track Health",0.8  
"Update health quotient and download health documents","View Health Quotient",0.9  
"Update health quotient and download health documents","Manage Documents",0.6  
"Troubleshoot ABHA ID errors using FAQ guides","ABHA Id",1.0  
"Troubleshoot ABHA ID errors using FAQ guides","FAQs",0.7  
"Sync health records and analyze health quotient","Health records",1.0  
"Sync health records and analyze health quotient","View Health Quotient",0.8  
"Delete outdated documents and check health quotient","Manage Documents",1.0  
"Delete outdated documents and check health quotient","View Health Quotient",0.4  
"Generate ABHA ID and follow setup steps","ABHA Id",1.0  
"Generate ABHA ID and follow setup steps","Steps",0.6  
"Track diet progress and manage health records","Track Health",1.0  
"Track diet progress and manage health records","Health records",0.7  
"FAQs for document security and ABHA ID renewal","FAQs",1.0  
"FAQs for document security and ABHA ID renewal","ABHA Id",0.5  
"Track my daily steps","Buy Elevate",0
"Please register a health insurance policy","Add Health Policy",1
"Help me add a new health policy","Add Health Policy",1
"View health quotient dashboard and export data","View Health Quotient",1.0  
"View health quotient dashboard and export data","Manage Documents",0.4  
"Steps to recover lost ABHA ID and read FAQs","Steps",1.0  
"Steps to recover lost ABHA ID and read FAQs","FAQs",0.6  
"Organize medical documents and track blood pressure","Manage Documents",1.0  
"Organize medical documents and track blood pressure","Track Health",0.5  
"Validate ABHA ID and update health records","ABHA Id",1.0  
"Validate ABHA ID and update health records","Health records",0.7  
"FAQs about health quotient accuracy and steps","FAQs",1.0  
"FAQs about health quotient accuracy and steps","Steps",0.4  
"Backup health records and view quotient alerts","Health records",1.0  
"Backup health records and view quotient alerts","View Health Quotient",0.6  
"Deactivate ABHA ID and delete old documents","ABHA Id",1.0  
"Deactivate ABHA ID and delete old documents","Manage Documents",0.8  
"Track sleep patterns and read health blogs","Track Health",1.0  
"Track sleep patterns and read health blogs","FAQs",0.3  
"Steps to print health records and check quotient","Steps",1.0  
"Steps to print health records and check quotient","View Health Quotient",0.7
"Check pending challans and renew driving license","View Challans",1.0
"Check pending challans and renew driving license","Driving Licence",0.7
"Verify PUC validity and submit motor inspection","PUC Validity",1.0
"Verify PUC validity and submit motor inspection","Motor self inspection",0.8
"View DriveSmart score and update license details","IL DriveSmart",1.0
"View DriveSmart score and update license details","Driving Licence",0.6
"Pay traffic fines via DriveSmart app","View Challans",0.9
"Pay traffic fines via DriveSmart app","IL DriveSmart",0.7
"How to complete self-inspection?","Motor self inspection",1.0
"Check DL status and PUC expiry date","Driving Licence",1.0
"Check DL status and PUC expiry date","PUC Validity",0.7
"Analyze DriveSmart data and challan history","IL DriveSmart",1.0
"Analyze DriveSmart data and challan history","View Challans",0.6
"Renew PUC certificate online","PUC Validity",1.0
"Update driving license photo using DriveSmart","Driving Licence",1.0
"Update driving license photo using DriveSmart","IL DriveSmart",0.5
"Download self-inspection checklist","Motor self inspection",1.0
"Resolve failed challan payment","View Challans",1.0
"Apply for duplicate driving license","Driving Licence",1.0
"Extend PUC validity period","PUC Validity",1.0
"DriveSmart app not updating score","IL DriveSmart",1.0
"Motor inspection due date reminder","Motor self inspection",1.0
"Confirm challan payment status","View Challans",1.0
"Link driving license to DriveSmart profile","Driving Licence",0.8
"Link driving license to DriveSmart profile","IL DriveSmart",0.8
"Upload PUC and inspection report","PUC Validity",1.0
"Upload PUC and inspection report","Motor self inspection",1.0
"Dispute incorrect challan charges","View Challans",1.0
"Track driving license delivery status","Driving Licence",1.0
"Check PUC validity for multiple vehicles","PUC Validity",1.0
"Improve DriveSmart score for discounts","IL DriveSmart",1.0
"Schedule motor self-inspection appointment","Motor self inspection",1.0
"View past challans for 2023","View Challans",1.0
"Change address on driving license","Driving Licence",1.0
"Download digital PUC certificate","PUC Validity",1.0
"DriveSmart leaderboard rankings","IL DriveSmart",1.0
"Motor inspection failure reasons","Motor self inspection",1.0
"Challan payment gateway issues","View Challans",1.0
"Verify driving license authenticity","Driving Licence",1.0
"PUC validity for commercial vehicles","PUC Validity",1.0
"Reset DriveSmart account password","IL DriveSmart",1.0
"Re-submit rejected motor inspection","Motor self inspection",1.0
"Calculate total pending challan amount","View Challans",1.0
"Renew international driving license","Driving Licence",1.0
"PUC validity check via SMS","PUC Validity",1.0
"DriveSmart safe driving tips","IL DriveSmart",1.0
"Motor inspection checklist PDF","Motor self inspection",1.0
"Challan history export to email","View Challans",1.0
"Add vehicle to driving license","Driving Licence",1.0
"PUC validity grace period","PUC Validity",1.0
"DriveSmart referral program","IL DriveSmart",1.0
"Motor inspection video guidelines","Motor self inspection",1.0
"Challan discount offers","View Challans",1.0
"Driving license test slots booking","Driving Licence",1.0
"PUC centers near me","PUC Validity",1.0
"DriveSmart achievement badges","IL DriveSmart",1.0
"Motor inspection for leased vehicles","Motor self inspection",1.0
"Challan payment receipt download","View Challans",1.0
"Driving license points system","Driving Licence",1.0
"Emergency PUC renewal","PUC Validity",1.0
"DriveSmart monthly report","IL DriveSmart",1.0
"Motor inspection after modifications","Motor self inspection",1.0
"Challan status for rented vehicle","View Challans",1.0
"Driving license suspension reasons","Driving Licence",1.0
"PUC validity for electric vehicles","PUC Validity",1.0
"DriveSmart accident alert feature","IL DriveSmart",1.0
"Third-party motor inspection","Motor self inspection",1.0
"Challan payment plans","View Challans",1.0
"Driving license hologram verification","Driving Licence",1.0
"PUC validity for vintage cars","PUC Validity",1.0
"DriveSmart fuel efficiency tips","IL DriveSmart",1.0
"Motor inspection for insurance","Motor self inspection",1.0
"Challan due date reminders","View Challans",1.0
"Driving license renewal steps","Driving Licence",1.0
"PUC validity and pollution norms","PUC Validity",1.0
"DriveSmart night driving analytics","IL DriveSmart",1.0
"Motor inspection certification process","Motor self inspection",1.0
"Check challans across states","View Challans",1.0
"Driving license biometric update","Driving Licence",1.0
"PUC validity for imported bikes","PUC Validity",1.0
"DriveSmart carpooling rewards","IL DriveSmart",1.0
"Motor inspection for commercial trucks","Motor self inspection",1.0
"Challan payment history archive","View Challans",1.0
"Driving license test reschedule","Driving Licence",1.0
"PUC validity during lockdown","PUC Validity",1.0
"DriveSmart eco-driving score","IL DriveSmart",1.0
"Motor inspection app troubleshooting","Motor self inspection",1.0
"View challans with vehicle number","View Challans",1.0
"Driving license smart card delivery","Driving Licence",1.0
"PUC validity for hybrid cars","PUC Validity",1.0
"DriveSmart trip history export","IL DriveSmart",1.0
"Motor inspection for vintage vehicles","Motor self inspection",1.0
"Challan payment via UPI","View Challans",1.0
"Driving license address change steps","Driving Licence",1.0
"PUC validity and insurance renewal","PUC Validity",1.0
"PUC validity and insurance renewal","Motor self inspection",0.4
"DriveSmart speed limit alerts","IL DriveSmart",1.0
"Motor inspection for leased cars","Motor self inspection",1.0
"Check challan with DL number","View Challans",0.8
"Check challan with DL number","Driving Licence",0.6
"Renew PUC and driving license together","PUC Validity",1.0
"Renew PUC and driving license together","Driving Licence",0.9
"DriveSmart and motor inspection linked","IL DriveSmart",1.0
"DriveSmart and motor inspection linked","Motor self inspection",0.7
"Challan disputes via DriveSmart app","View Challans",1.0
"Challan disputes via DriveSmart app","IL DriveSmart",0.6
"Update PUC and license simultaneously","PUC Validity",1.0
"Update PUC and license simultaneously","Driving Licence",0.7
"Motor inspection affects DriveSmart score","Motor self inspection",1.0
"Motor inspection affects DriveSmart score","IL DriveSmart",0.8
"Pay challan and check PUC validity","View Challans",1.0
"Pay challan and check PUC validity","PUC Validity",0.7
"Driving license renewal with PUC","Driving Licence",1.0
"Driving license renewal with PUC","PUC Validity",0.5
"DriveSmart rewards for clean PUC","IL DriveSmart",1.0
"DriveSmart rewards for clean PUC","PUC Validity",0.6
"Self-inspection before DriveSmart audit","Motor self inspection",1.0
"Self-inspection before DriveSmart audit","IL DriveSmart",0.4
"Challan history impacts DriveSmart rating","View Challans",1.0
"Challan history impacts DriveSmart rating","IL DriveSmart",0.7
"Expired PUC blocks license renewal","PUC Validity",1.0
"Expired PUC blocks license renewal","Driving Licence",0.6
"Motor inspection checklist in DriveSmart","Motor self inspection",1.0
"Motor inspection checklist in DriveSmart","IL DriveSmart",0.5
"Challan payment via DriveSmart wallet","View Challans",1.0
"Challan payment via DriveSmart wallet","IL DriveSmart",0.8
"Upload PUC after self-inspection","PUC Validity",1.0
"Upload PUC after self-inspection","Motor self inspection",0.7
"DriveSmart tips to avoid challans","IL DriveSmart",1.0
"DriveSmart tips to avoid challans","View Challans",0.6
"Renew license without valid PUC","Driving Licence",1.0
"Initiate health coverage policy","Add Health Policy",1
